WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555710585,Sever Mshinskogo bolota,IV,152.45,Russia,59.16257,30.22930
555710587,Pogromskij,IV,165.94,Russia,50.38727,37.74657
555710612,Sindorskij,IV,128.10,Russia,62.73653,51.92713
555710614,Simvinskij,IV,44.70,Russia,62.88251,51.82614
555710616,Vymskij,IV,2863.28,Russia,63.74580,51.14991
555710619,Ur-El`-Nyur (Ur`el`nyur),IV,47.34,Russia,61.89157,52.45452
555710624,Ilychskij,IV,3481.54,Russia,62.84578,57.87402
555710625,Okean,IV,1787.82,Russia,66.31967,53.22205
555710628,Hopkovskij i Kletchatyj,IV,66.80,Russia,66.13429,52.73631
555710635,Un`inskij,IV,1427.89,Russia,61.70771,58.49576
555710636,Semilukskij,IV,26.41,Russia,51.75654,39.05105
555710638,Udorskij,IV,2412.50,Russia,64.18543,50.11422
555710639,Uchastok reki Pechora,IV,918.34,Russia,61.98588,58.63366
555710644,Usinskij kompleksnyj,IV,1405.87,Russia,65.71886,57.21630
555710647,Tyb`yunyur (Tyb`yu-Nyur),IV,688.32,Russia,62.55393,51.82316
555710649,Nyumlyginskij,IV,55.36,Russia,62.53141,56.30522
555710652,Syninskij,IV,1386.87,Russia,65.47789,58.12089
555710653,Sebys`,IV,1717.63,Russia,64.52827,54.33347
555710656,Suskin el`,IV,29.77,Russia,63.07101,54.15332
555710658,Sula-Har`yaginskij,IV,64.74,Russia,66.88174,51.98856
555710661,Nadpojmennyj,IV,122.45,Russia,66.27630,57.36841
555710662,YUil,IV,36.17,Russia,61.55296,50.44757
555710667,Pobyl`nichanyur,IV,52.73,Russia,64.04582,57.54155
555710673,Nemskij,IV,360.81,Russia,61.66672,55.53329
555710674,Syv`yudorskij,IV,122.99,Russia,62.75067,52.83873
555710675,Vizingskij,IV,245.47,Russia,61.35666,49.84366
555710678,bez nazvaniya,IV,26.13,Russia,63.38522,48.74978
555710680,Kajgorodkanyur,IV,32.32,Russia,64.28823,57.56121
555710681,Levoberezhnyj,IV,57.38,Russia,65.36159,56.94080
555710688,Lar`kovskij,IV,160.73,Russia,66.26210,52.75125
555710696,Lunvyvnyur,IV,32.21,Russia,61.79566,51.44622
555710699,Lesnoj,IV,87.96,Russia,58.20623,35.33062
555710701,Purganyur,IV,56.43,Russia,64.96715,57.37760
555710702,Rameshkovskij,IV,138.35,Russia,57.33360,35.92629
555710703,Novikkush,IV,37.73,Russia,61.98018,52.99838
555710707,Debo (Debo),IV,32.77,Russia,62.50457,50.38343
555710708,Pon`yu-Zaostrennaya,IV,70.29,Russia,66.31229,59.02367
555710709,Vychegda,IV,340.07,Russia,62.45712,55.29422
555710713,Kuzobnyur (Kuzob-Nyur),IV,33.73,Russia,61.83013,53.30873
555710717,Leknyur,IV,167.08,Russia,64.08653,57.38728
555710720,Visherskij,IV,104.03,Russia,62.45267,52.03550
555710721,Belyj,IV,77.94,Russia,62.07817,50.38855
