qid,tier,lat,lon,sitelinks,iso
Q1406352,pilgrimage_major,48.09530,11.55640,2,DE
Q1432607,pilgrimage_major,32.78860,-96.79790,7,US
Q1440009,pilgrimage_major,47.65303,13.00248,3,DE
Q1460781,pilgrimage_major,45.96355,18.95560,3,HU
Q120258745,pilgrimage_major,37.85365,15.28407,2,IT
Q120478877,pilgrimage_major,45.21439,11.29853,2,IT
Q121097947,pilgrimage_major,46.35123,-72.54823,0,CA
Q3950102,pilgrimage_major,40.68985,14.45997,5,IT
Q3950103,pilgrimage_major,45.56005,10.90723,2,IT
Q3950111,pilgrimage_major,45.41830,10.98660,6,IT
Q3950116,pilgrimage_major,45.66951,10.63743,2,IT
Q1478640,pilgrimage_major,39.82292,2.88444,16,ES
Q1482259,pilgrimage_major,47.98760,10.43520,2,DE
Q1487617,pilgrimage_major,47.92304,7.74216,2,DE
Q1494616,pilgrimage_major,47.44207,9.39330,2,CH
Q1497628,pilgrimage_major,48.87930,10.70700,3,DE
Q1507978,pilgrimage_major,47.57890,10.74880,4,DE
Q1509463,pilgrimage_major,25.98659,85.12559,44,IN
Q1510389,pilgrimage_major,21.00499,-100.79456,24,MX
Q1535494,pilgrimage_major,47.77120,11.32910,2,DE
Q1535948,pilgrimage_major,52.06260,7.24493,3,DE
Q1552528,pilgrimage_major,51.30917,17.06667,11,PL
Q1556394,pilgrimage_major,48.37169,13.12189,2,DE
Q1560443,pilgrimage_major,48.17720,11.62720,2,DE
Q1574738,pilgrimage_major,48.56904,13.47020,4,DE
Q1587873,pilgrimage_major,47.39340,11.81770,2,AT
Q1594842,pilgrimage_major,48.72070,10.63950,2,DE
Q1594926,pilgrimage_major,46.61431,11.93833,3,IT
Q1595372,pilgrimage_major,47.41163,9.04037,2,CH
Q1603443,pilgrimage_major,46.39161,11.41434,8,IT
Q1603691,pilgrimage_major,48.72850,13.00110,2,DE
Q1605071,pilgrimage_major,47.89333,8.33611,2,DE
Q1640315,pilgrimage_major,47.88880,10.13760,2,DE
Q1650237,pilgrimage_major,48.97190,10.14500,3,DE
Q1650991,pilgrimage_major,48.20703,10.95488,2,DE
Q1670422,pilgrimage_major,49.90280,9.82961,2,DE
Q1670907,pilgrimage_major,48.84222,10.85750,2,DE
Q1675939,pilgrimage_major,49.27272,11.48253,2,DE
Q1701117,pilgrimage_major,48.66930,12.06416,2,DE
Q1714172,pilgrimage_major,49.01540,11.12590,2,DE
Q1717574,pilgrimage_major,47.83840,13.04042,4,AT
Q1724541,pilgrimage_major,47.85680,10.13800,2,DE
Q1725518,pilgrimage_major,16.94278,104.72417,11,TH
Q1727133,pilgrimage_major,48.08610,13.86400,4,AT
Q1742701,pilgrimage_major,54.27570,9.90131,2,DE
Q1775576,pilgrimage_major,48.39360,11.16240,3,DE
Q1776124,pilgrimage_major,48.89570,11.18310,4,DE
Q1776234,pilgrimage_major,49.10273,17.39461,4,CZ
Q1776766,pilgrimage_major,51.29230,10.21750,3,DE
Q1787541,pilgrimage_major,43.45161,4.42775,7,FR
Q1795397,pilgrimage_major,49.78430,9.92191,7,DE
Q1802030,pilgrimage_major,48.43608,12.94230,2,DE
Q1875645,pilgrimage_major,50.85748,5.23965,5,BE
Q1886791,pilgrimage_major,10.18333,76.50000,5,IN
Q1895722,pilgrimage_major,47.19240,9.02107,2,CH
Q1895797,pilgrimage_major,50.38576,9.81092,2,DE
Q1896411,pilgrimage_major,47.13090,11.40530,1,AT
Q1896475,pilgrimage_major,49.87470,10.21400,4,DE
Q1896473,pilgrimage_major,47.81944,9.22472,2,DE
Q1896479,pilgrimage_major,47.90245,8.10643,2,DE
Q1896534,pilgrimage_major,50.09250,9.09539,2,DE
Q1899638,pilgrimage_major,49.97400,9.15079,2,DE
Q1899678,pilgrimage_major,48.14940,10.30980,2,DE
Q1899703,pilgrimage_major,48.51889,8.11833,3,DE
Q1968407,pilgrimage_major,39.29440,-76.61620,14,US
Q1982229,pilgrimage_major,51.31278,7.08750,10,DE
Q2082376,pilgrimage_major,48.20750,16.22860,2,AT
Q2082382,pilgrimage_major,46.86762,8.23989,3,CH
Q2082623,pilgrimage_major,47.71150,16.34430,2,AT
Q2083104,pilgrimage_major,48.20138,12.42642,2,DE
Q2088381,pilgrimage_major,36.80111,3.04250,25,DZ
Q2166547,pilgrimage_major,47.69750,16.30690,2,AT
Q2167317,pilgrimage_major,43.17444,-2.28237,17,ES
Q2215789,pilgrimage_major,48.87290,11.55570,3,DE
Q2219248,pilgrimage_major,41.63464,-0.88566,5,ES
Q2223783,pilgrimage_major,39.51911,2.92758,3,ES
Q2223786,pilgrimage_major,37.07472,15.28528,10,IT
Q2223805,pilgrimage_major,41.43181,-8.26975,3,PT
Q2280855,pilgrimage_major,51.08386,5.32561,1,BE
Q2316385,pilgrimage_major,47.39640,10.28060,2,DE
Q2317113,pilgrimage_major,51.72590,7.15541,3,DE
Q2320288,pilgrimage_major,48.68432,10.54518,2,DE
Q2321710,pilgrimage_major,48.45090,10.57140,2,DE
Q2322207,pilgrimage_major,47.10174,8.09945,2,CH
Q2322975,pilgrimage_major,47.97920,10.57940,2,DE
Q2322972,pilgrimage_major,48.12140,11.15650,2,DE
Q2322999,pilgrimage_major,49.20850,9.30056,2,DE
Q2364438,pilgrimage_major,53.79210,-8.91766,14,IE
Q2373648,pilgrimage_major,41.77824,12.54251,14,IT
Q2399330,pilgrimage_major,51.00163,3.54807,2,BE
Q2402338,pilgrimage_major,40.51270,-6.16891,5,ES
Q2542789,pilgrimage_major,49.58450,9.36624,5,DE
Q2542811,pilgrimage_major,47.30102,8.41128,3,CH
Q2542812,pilgrimage_major,48.87293,12.28410,2,DE
Q2542820,pilgrimage_major,48.90182,12.69667,2,DE
Q2542832,pilgrimage_major,49.92690,9.28410,2,DE
Q2542843,pilgrimage_major,49.29660,16.74270,6,CZ
Q2542841,pilgrimage_major,48.07592,14.09817,3,AT
Q2542850,pilgrimage_major,49.45298,11.87110,2,DE
Q2542854,pilgrimage_major,49.20390,11.32670,2,DE
Q2542855,pilgrimage_major,48.15880,10.82990,2,DE
Q2542863,pilgrimage_major,48.44390,12.36250,2,DE
Q2542866,pilgrimage_major,49.98580,10.61770,2,DE
Q79961,pilgrimage_major,-22.95192,-43.21046,94,BR
Q82387,pilgrimage_major,38.93333,-77.00056,29,US
Q82560,pilgrimage_major,52.47220,-1.92880,9,GB
Q135779,pilgrimage_major,37.91153,27.33397,36,TR
Q138388,pilgrimage_major,36.70889,67.11083,43,AF
Q155776,pilgrimage_major,23.96110,86.13710,14,IN
Q156675,pilgrimage_major,47.68060,10.90044,45,DE
Q174779,pilgrimage_major,39.65917,-8.82611,43,PT
Q174968,pilgrimage_major,14.59972,120.98889,17,PH
Q176502,pilgrimage_major,47.54472,12.97250,14,DE
Q186282,pilgrimage_major,41.89750,12.49861,58,IT
Q187499,pilgrimage_major,32.94347,35.09188,22,IL
Q205136,pilgrimage_major,42.88056,-8.54444,65,ES
Q241913,pilgrimage_major,-34.62640,-55.48560,2,UY
Q246924,pilgrimage_major,46.17519,8.79384,10,CH
