qid,lat,lon
Q3078937,48.65000,1.83333
Q3078951,48.93949,2.09652
Q3078995,45.11670,0.16667
Q3079075,-21.13326,55.42491
Q3079091,42.71139,-101.03972
Q3079095,34.33330,-118.13300
Q3079099,31.26860,-94.41190
Q3079100,39.58860,-105.64300
Q3079101,44.37640,-120.11700
Q3079103,48.63028,-120.08000
Q3079107,45.60060,-112.78735
Q3079111,43.22250,-122.25400
Q3079113,46.23280,-113.96400
Q18922445,55.18000,20.86200
Q19899050,12.88168,77.52498
Q20396118,35.22062,-2.99671
Q12658049,55.31806,23.79028
Q12662245,55.15000,23.93333
Q13433037,52.21011,5.28251
Q13479748,54.66590,18.27090
Q13606270,52.79304,6.91678
Q14252595,50.77457,3.94039
Q3079114,35.86652,-83.06371
Q3079121,31.09830,-86.63830
Q3079126,34.73330,-89.13330
Q3079128,44.00000,-121.50000
Q3079140,35.23380,-83.55930
Q3079145,36.04000,-118.50400
Q3079149,41.72479,-123.84523
Q3079156,39.56250,-120.56200
Q3079157,33.19610,-86.46250
Q3079158,47.83000,-91.52472
Q3079161,32.47640,-85.60720
Q3079168,47.73528,-120.76194
Q3079170,34.22774,-87.32984
Q3079171,42.93740,-121.81400
Q3079173,44.10947,-122.18353
Q3079370,46.00000,-78.00000
Q3107151,44.76440,20.44110
Q3285041,34.10000,-6.60000
Q3290802,34.66670,-119.75100
Q3303402,54.27800,-0.65400
Q3364373,55.01030,-6.12056
Q3402775,51.38330,-1.68333
Q3411025,50.50000,23.00010
Q3569474,50.57780,-3.96139
Q3646797,-29.29833,30.23222
Q3676075,55.10000,15.08333
Q3752713,58.78333,14.63333
Q3820768,72.46667,102.25000
Q3822034,-15.33000,166.92000
Q3901887,46.02906,9.40208
Q3936486,34.31222,35.98500
Q4064297,31.74813,35.13332
Q4098398,53.00417,52.11528
Q4153186,46.87371,29.39017
Q4154079,53.83333,24.33333
Q4213857,54.47278,82.38972
Q4225661,60.00321,30.55340
Q4239674,61.64981,34.57428
Q4410694,48.15889,24.21611
Q4499355,49.13443,32.23879
Q4673845,57.48000,-5.30000
Q4752802,37.38567,-118.17886
Q4785253,40.87393,-124.05839
Q4873299,4.60000,115.18333
Q4879254,51.06820,0.46340
Q4904599,32.26431,-89.50513
Q4921102,35.70435,-99.86563
Q4946090,4.90000,115.20000
Q5003686,-1.05200,29.62000
Q5005417,44.53089,26.08181
Q5035930,46.94982,-123.16793
Q5056882,45.95520,-101.84400
Q5097608,26.55056,89.37972
Q20816980,23.98506,73.26876
Q14693230,31.50310,-90.99860
Q14919268,55.21194,23.69806
Q14919578,56.26667,23.21667
Q14942956,-22.96300,-43.24500
Q15059687,11.53333,13.33333
Q15267458,41.51528,-73.49806
Q15325187,49.23055,10.98050
Q15325229,49.30000,10.90000
Q15643829,19.54000,80.80600
Q5150298,48.68800,-117.62500
Q5173142,54.83900,12.14600
Q5181922,50.96142,-2.04409
Q5209517,-16.20000,145.40000
Q5223611,-34.21889,150.90694
Q5253106,53.22910,-2.67780
Q5254696,32.76670,-90.78330
Q5313744,45.74600,24.09900
Q5450206,42.51060,-76.78970
Q5481853,33.16729,-79.71319
Q5501644,42.60000,-121.20000
Q5518790,7.10000,80.93333
Q5530607,46.25306,18.88650
Q5533320,53.89040,49.81590
Q5563340,6.66667,-8.66667
Q5569361,55.64631,-3.13567
Q5578332,6.93278,-10.76222
Q5595051,45.73600,-102.36100
Q16070702,50.88766,4.29929
Q16324443,56.13330,9.58333
Q16329596,40.62440,23.01830
Q16458066,55.40000,24.11667
Q5602884,-7.95000,-14.35000
Q5623753,53.12600,-3.82800
Q5626458,53.11306,10.83528
Q5735175,53.31417,21.45222
Q5898597,38.47750,-86.52500
Q5960787,36.75056,55.05333
Q6074850,41.12605,30.45942
Q6100966,4.50000,-59.00000
Q6373728,-1.24028,36.82361
Q6405248,55.20800,-2.52800
Q6419646,41.60503,-123.43086
Q6435723,7.50139,-10.25139
Q6445002,50.02500,14.47222
Q6515617,59.85210,10.96640
Q6547929,52.49020,24.07100
Q6547932,59.35139,18.07917
Q6789615,41.64287,-73.10067
Q21031193,28.75550,-17.81045
Q21769087,50.71098,3.88203
Q16926656,23.67478,120.79683
Q16954344,1.72417,31.54583
Q16954386,1.25556,30.96667
Q16963852,14.33000,102.05000
Q6849392,-22.60000,43.40000
Q6919569,48.14494,-121.46188
Q6953015,31.94466,34.95654
Q6968548,41.99900,-72.13200
Q6972763,52.74111,-1.54306
Q7031799,50.04040,20.37030
Q7037582,7.50000,-8.50000
Q7077001,42.34440,-73.17630
Q7121988,41.59920,-71.87810
Q7157376,31.75722,35.23056
Q7166859,4.75000,115.16700
Q7194173,-30.75970,149.29700
Q7262052,52.71490,21.79010
Q7262054,53.61206,21.51629
Q7295485,25.01760,91.93170
Q7304185,41.71010,-87.91260
Q7336479,36.40885,-102.64476
Q7416444,50.50000,22.00000
Q7494287,41.96121,-72.41231
Q7495740,46.42700,-97.29500
Q7558676,-7.93000,157.93000
Q7568910,10.16667,77.06667
Q18343336,39.75014,46.75000
Q7798906,43.68000,-105.02000
Q7814352,42.13426,-73.02955
Q7814422,54.21600,-5.91700
Q7818683,33.23649,-89.04813
Q7833396,60.21890,11.11770
Q8028208,28.47083,-82.05786
Q8040451,52.38500,-2.36861
Q8082837,56.98161,24.22625
Q9177880,51.37051,15.12045
Q9250131,49.86670,10.46670
Q9251692,49.85000,11.03330
Q9263574,48.95000,11.88330
Q9291995,48.90000,11.73330
Q9375210,49.81667,10.51667
Q10508756,56.00000,12.33333
Q10942652,23.95397,121.17678
Q11073464,24.07272,121.02092
Q21859793,48.15220,16.24280
Q23821168,48.74500,16.82500
Q11682361,41.21530,-3.39649
Q11699545,49.89140,11.06062
Q11699714,50.33330,11.56670
Q11705528,52.47833,13.21833
Q11819663,48.76670,13.78330
Q11831937,54.12227,22.10368
Q11831955,53.21417,23.43667
Q11831971,54.36667,25.06667
Q11941348,42.65104,18.06810
Q11974337,55.76670,12.38330
