qid,lat,lon,sitelinks,iso
Q69321,46.87500,8.66278,32,CH
Q69345,46.99028,6.93056,90,CH
Q69354,46.43500,6.91250,87,CH
Q69364,46.18166,6.14037,53,CH
Q69401,46.50945,6.49861,55,CH
Q69410,46.35000,6.20000,33,CH
Q69413,47.58756,9.31290,36,CH
Q69429,47.52222,8.33056,31,CH
Q69433,47.38750,8.18028,42,CH
Q69438,47.53861,8.29028,30,CH
Q69445,46.52583,6.46669,28,CH
Q69453,47.04260,7.09740,33,CH
Q69471,46.19520,5.99460,31,CH
Q69476,47.06528,7.09444,37,CH
Q69487,47.00000,7.10000,32,CH
Q69495,47.08333,7.13333,26,CH
Q69503,46.33333,10.04972,44,CH
Q69507,46.95000,6.83333,32,CH
Q69522,46.29060,7.09750,30,CH
Q69525,46.81667,6.93333,39,CH
Q69545,46.21900,7.00470,39,CH
Q69546,46.65000,6.28333,26,CH
Q69549,46.31667,6.90000,26,CH
Q69551,46.11280,7.49610,31,CH
Q69553,46.18333,7.40000,27,CH
Q69570,46.45755,6.33167,37,CH
Q69577,46.16447,7.24338,26,CH
Q69590,46.31667,7.63333,37,CH
Q69595,47.47005,9.58340,33,CH
Q69600,46.58361,7.08194,50,CH
Q69619,47.11639,7.85000,31,CH
Q69629,47.74972,8.66667,28,CH
Q69639,46.66750,8.58639,36,CH
Q69642,46.81237,8.59937,37,CH
Q69644,47.14268,9.09327,29,CH
Q69652,47.36528,9.31944,32,CH
Q69665,46.91228,8.64318,34,CH
Q69673,46.48333,8.80000,27,CH
Q69697,46.51508,6.69902,36,CH
Q69709,46.81667,10.33333,32,CH
Q69726,47.21528,7.78889,42,CH
Q69742,47.06444,8.52417,36,CH
Q69774,47.24010,8.73280,43,CH
Q69786,46.31000,7.80000,32,CH
Q69807,46.90000,6.48333,26,CH
Q69819,47.08920,7.79100,29,CH
Q69826,46.19387,6.01397,29,CH
Q69868,47.27556,7.24444,21,CH
Q69871,46.98333,7.20000,28,CH
Q69877,47.03258,7.19602,25,CH
Q69889,46.33333,7.63333,28,CH
Q66938,47.25833,7.30000,29,CH
Q66969,47.22083,7.55556,26,CH
Q66991,47.44833,8.14444,21,CH
Q67014,46.83333,7.55000,27,CH
Q67016,47.16056,7.21389,27,CH
Q67024,47.44083,7.90833,27,CH
Q67027,47.04972,9.41667,30,CH
Q67029,47.28444,7.42639,28,CH
Q67032,46.62410,9.57560,24,CH
Q67035,46.50000,8.51667,29,CH
Q67040,46.32370,7.98860,33,CH
Q67084,47.03282,7.11129,26,CH
Q67086,47.01689,7.73787,27,CH
Q67088,46.20000,7.90000,28,CH
Q67092,47.38306,7.75000,35,CH
Q67094,47.56861,8.41917,30,CH
Q67097,46.68720,7.84970,36,CH
Q67100,47.19111,8.85667,31,CH
Q67103,46.70013,6.91814,35,CH
Q67112,46.90000,7.23306,30,CH
Q67114,47.69000,8.49889,31,CH
Q67120,47.28417,8.76250,31,CH
Q67123,47.66639,8.98306,35,CH
Q67128,47.68333,8.74972,34,CH
Q67130,45.90000,8.96667,34,CH
Q67133,47.25200,7.64670,29,CH
Q67135,47.58306,8.25000,31,CH
Q67137,47.49138,8.86454,30,CH
Q67145,47.36806,8.87778,30,CH
Q67157,47.28028,7.37083,39,CH
Q67168,47.31806,9.28583,31,CH
Q67171,47.36056,9.45111,31,CH
Q67191,47.04889,8.61139,30,CH
Q67203,47.22083,7.20139,33,CH
Q67213,47.62667,8.65056,29,CH
Q67215,47.09139,7.44861,26,CH
Q67217,47.19000,7.50139,22,CH
Q67225,47.42465,9.61254,30,CH
Q67241,47.02710,7.04890,27,CH
Q67249,47.23611,7.22222,29,CH
Q67257,47.24718,7.61350,27,CH
Q67270,45.96989,8.87952,28,CH
Q67272,47.27528,8.91444,29,CH
Q67286,46.30295,9.12406,21,CH
Q67289,46.92167,7.72667,27,CH
Q67300,46.76667,7.11667,30,CH
Q67302,47.62333,8.77972,25,CH
Q67310,47.34333,8.77194,27,CH
Q67332,46.36667,8.10000,28,CH
Q67338,47.47472,8.05139,26,CH
Q67356,46.76667,7.16667,27,CH
Q67371,47.07041,7.22010,27,CH
Q67376,47.17611,7.45972,26,CH
Q67379,46.90000,7.23333,28,CH
Q67404,47.14500,7.61472,26,CH
Q67422,47.14000,7.34028,25,CH
Q67445,47.05556,7.44972,21,CH
Q67468,47.11528,7.08194,27,CH
Q67484,46.05000,8.98333,21,CH
Q67493,46.85417,7.90000,25,CH
Q67499,47.18838,7.70619,28,CH
Q67501,46.51667,8.70000,28,CH
Q67516,46.85000,6.84722,31,CH
Q67523,46.35000,8.96667,36,CH
Q67534,47.64583,8.60667,30,CH
Q67536,47.23110,7.65018,30,CH
Q67554,47.09556,7.51361,22,CH
Q67558,47.13028,7.40694,25,CH
Q67579,47.10222,7.47833,20,CH
Q67582,46.83944,7.61917,27,CH
Q67593,47.06444,7.57944,28,CH
Q67606,47.18611,7.75694,26,CH
Q67638,47.10806,7.61000,21,CH
Q67644,46.98444,7.72389,28,CH
Q67648,47.02944,7.46889,26,CH
Q67652,47.11778,7.61000,21,CH
Q67662,46.18333,8.73333,21,CH
Q67666,47.25000,7.00000,29,CH
Q67691,46.38333,7.76667,27,CH
Q67694,46.46667,7.08333,27,CH
Q67708,46.66667,7.10000,27,CH
Q67760,45.85000,8.93333,28,CH
Q67763,46.40000,8.86667,27,CH
Q67768,46.85722,7.60528,27,CH
Q67794,47.10528,7.64417,26,CH
Q67798,46.74120,7.28710,27,CH
Q67814,47.10833,7.49389,22,CH
Q67826,47.00910,7.68920,27,CH
Q67830,47.04944,7.56861,23,CH
Q67832,47.03417,7.45583,26,CH
Q67842,46.93306,7.88306,28,CH
Q67857,47.14917,7.73583,25,CH
Q67864,46.28333,8.48333,25,CH
Q67869,47.48333,7.13333,25,CH
Q67872,45.88233,9.01528,26,CH
Q67882,47.59167,8.47417,27,CH
Q67896,47.14306,7.51250,20,CH
Q67900,47.39170,9.56810,27,CH
Q67902,47.63389,8.79944,24,CH
Q67907,47.52944,8.46639,25,CH
Q67914,47.14139,7.46667,22,CH
Q67916,47.13750,7.43472,21,CH
Q67937,47.63917,8.79028,24,CH
Q67954,47.42528,7.84972,27,CH
Q67959,47.41667,6.95000,24,CH
Q67978,47.38940,6.95570,20,CH
Q67986,45.93333,8.98333,25,CH
Q67989,46.30000,8.58333,25,CH
Q67993,47.47670,7.15210,25,CH
Q68007,46.08333,9.05000,20,CH
Q68063,46.48361,6.45750,28,CH
Q68076,46.46667,6.36667,24,CH
Q68103,46.68715,7.86487,68,CH
Q68111,45.83535,9.03203,49,CH
Q68120,47.55583,8.89639,73,CH
Q68124,47.09963,6.82956,87,CH
