WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555587147,Cordon del Plata,II,1759.56,ARG,-33.01501,-69.53789
555587159,Loro Hablador,IV,190.86,ARG,-25.45063,-61.81747
555587161,Isla Del Cerrito,IV,109.12,ARG,-27.29140,-58.68429
555587162,San Guillermo,II,9458.62,ARG,-29.16436,-69.54880
555587171,Balandra,IA,25.14,MEX,24.28846,-110.31504
555587175,"La porción norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel",IA,378.69,MEX,20.54424,-86.79502
555587179,Barzan Area and Gali Balnda,IV,1148.96,IRQ,37.05859,44.06220
555587187,Sakran Mountain,II,341.79,IRQ,36.63409,44.91716
555587199,Vileity,IV,83.95,BLR,55.25872,26.75846
555587200,Pico de Tancítaro,IA,233.76,MEX,19.43062,-102.31136
555587207,Tasik Belat,IV,25.19,IDN,0.65827,102.71575
555587208,Pulau Sangeang,IA,79.76,IDN,-8.18944,119.06096
555587209,Maubesi,IA,31.79,IDN,-9.55392,124.98119
555587215,Tafermaar,IA,29.32,IDN,-6.69927,131.59180
555587229,KKPD KABUPATEN KOLAKA,IV,482.62,IDN,-4.18146,121.47331
555587464,"Kälviän saaristo, Kotolahti ja Pikku-Köyrinen",IB,30.86,FIN,63.84955,23.38739
555587496,Pahamaailman luonnonsuojelualue (Kalevalapuisto),IB,26.84,FIN,65.45684,29.65808
555587521,Murhisalon luonnonsuojelualue (Kalevalapuisto),IB,54.05,FIN,64.71295,29.99768
555587534,Riuskanselkosen luonnonsuojelualue,IB,37.03,FIN,65.27097,28.77494
555587625,Kermajärven luonnonsuojelualue,IV,42.69,FIN,62.45819,28.71158
555587626,Pihlajaveden luonnonsuojelualue,IV,47.30,FIN,61.73394,28.85810
555587632,Teijon kansallispuisto,II,35.42,FIN,60.25592,22.98097
555587909,"Lahemaa RP, Suurekõrve skv.",IV,30.66,EST,59.55398,25.58708
555588070,"Lahemaa RP, Valgejõe-Laukasoo skv.",IV,32.62,EST,59.48697,25.88010
555588149,Allonby Bay,IV,39.35,GBR,54.76561,-3.49106
555588150,Bideford to Foreland Point,IV,103.64,GBR,51.14936,-4.03616
555588151,Coquet to St Marys,IV,191.94,GBR,55.21710,-1.47776
555588152,Cromer Shoal Chalk Beds,IV,320.23,GBR,52.93504,1.34453
555588158,Hartland Point to Tintagel,IV,303.97,GBR,50.84476,-4.68370
555588159,Holderness Inshore,IV,308.96,GBR,53.77216,0.02183
555588166,Runswick Bay,IV,67.67,GBR,54.56331,-0.70520
555588168,The Swale Estuary,IV,51.30,GBR,51.36936,0.88329
555588277,Kemihaaran soiden luonnonsuojelualue,IV,78.39,FIN,67.07326,27.73496
555588625,Suva planiana,IV,181.69,SRB,43.17770,22.19426
555588627,Pestersko polje,IV,31.15,SRB,43.07033,20.12607
555588646,Kernzonen im bayerischen Teil des Biosphärenreservats Rhön,IV,34.80,DEU,50.33743,10.01638
555588712,The Great Trossachs Forest,II,165.44,GBR,56.26763,-4.47071
555588792,Doñana,IV,1137.29,ESP,37.06156,-6.48033
555588793,Marismas del Odiel,IV,65.50,ESP,37.22245,-6.92710
555588799,Sierra de Grazalema,IV,533.94,ESP,36.71317,-5.37161
555588801,Laguna de Fuente de Piedra,IV,86.69,ESP,37.10996,-4.78499
555588803,"Sierras de Cazorla, Segura y las Villas",IV,2100.95,ESP,38.09813,-2.76269
555588804,Sierra Alhamilla,IV,81.06,ESP,36.99695,-2.34676
555588805,Cabo de Gata-Nijar,IV,495.43,ESP,36.87795,-2.09421
555588806,Desierto de Tabernas,IV,114.57,ESP,37.06628,-2.50534
555588808,Los Alcornocales,IV,1735.30,ESP,36.39708,-5.54265
555588809,Sierra de Hornachuelos,IV,600.20,ESP,37.94600,-5.24716
555588810,Sierra de Aracena y Picos deAroche,IV,1864.66,ESP,37.97349,-6.56193
555588811,Sierra Pelada y Rivera del Aserrador,IV,122.07,ESP,37.86250,-7.07493
555588812,Sierra Norte,IV,1773.57,ESP,37.92763,-5.76693
555588813,Bahía de Cádiz,IV,105.09,ESP,36.49071,-6.19395
555588820,Estrecho,IV,191.66,ESP,36.06333,-5.61669
555588823,Sierra Maria - Los Velez,IV,226.04,ESP,37.72534,-2.14068
555588824,Sierra del Oso,IV,120.68,ESP,37.84831,-2.10123
555588825,Sierra de Cabrera-Bedar,IV,337.26,ESP,37.10233,-2.01958
555588826,"Ramblas de Gergal, Tabernas y Sur de Sierra Alhamilla",IV,228.69,ESP,36.94981,-2.40484
555588827,Sierra de Gador y Enix,IV,503.83,ESP,36.90865,-2.70403
555588828,Sierra del Alto de Almagro,IV,63.61,ESP,37.36790,-1.85247
