qid,tier,lat,lon,sitelinks,iso
n12548021067,craft_cluster,37.23053,136.90931,0,JP
n1420933879,institution,37.22809,136.91582,0,JP
n12547951598,craft_cluster,37.22992,136.91151,0,JP
n1420934698,institution,37.28187,136.73448,0,JP
n1420933547,institution,37.13712,136.99658,0,JP
n1420933438,institution,37.29689,137.14887,0,JP
n1420934392,institution,37.30441,137.15018,0,JP
n1420934393,institution,37.30444,137.15027,0,JP
n5745067053,craft_cluster,36.92740,137.43340,0,JP
n5948077613,institution,36.94132,137.47254,0,JP
n1420916452,institution,36.95850,137.55446,0,JP
n5469036559,craft_cluster,36.95371,137.55798,0,JP
n5469146920,institution,36.95563,137.56082,0,JP
n1420934390,institution,37.30516,137.20939,0,JP
n1420922145,institution,37.30488,137.24081,0,JP
n12870681091,market,37.38621,136.90460,0,JP
n1420934701,institution,37.39409,136.90017,0,JP
n13305565552,craft_cluster,37.39214,136.90057,0,JP
n13311156400,craft_cluster,37.39460,136.89995,0,JP
n13311217701,craft_cluster,37.39465,136.89992,0,JP
n13311217702,craft_cluster,37.39462,136.89984,0,JP
n13311217703,craft_cluster,37.39457,136.89987,0,JP
n5500230887,craft_cluster,37.39513,136.90572,0,JP
n5500230888,craft_cluster,37.39518,136.90574,0,JP
n5500230889,craft_cluster,37.39523,136.90576,0,JP
n5500388143,craft_cluster,37.39460,136.90542,0,JP
n13305724401,craft_cluster,37.39668,136.90485,0,JP
n13336463162,craft_cluster,37.39430,136.90539,0,JP
n1420934386,institution,37.36301,137.04266,0,JP
n4346619145,craft_cluster,37.42395,136.99789,0,JP
n1420934404,institution,37.44115,137.06695,0,JP
n1420934689,institution,37.44948,137.07969,0,JP
n1420929125,institution,37.48640,137.11168,0,JP
n1420932757,institution,37.44042,137.32103,0,JP
n11504796838,institution,37.50114,137.17073,0,JP
n11504824408,institution,37.49924,137.17346,0,JP
n5800297898,institution,37.85118,136.91804,0,JP
n1420916632,institution,36.69686,137.65790,0,JP
n1932205458,institution,36.55067,137.84217,0,JP
n5789519953,craft_cluster,36.69747,137.86382,0,JP
n1400418448,institution,36.81477,137.58571,0,JP
n1420917930,institution,36.81346,137.58531,0,JP
n1400440111,institution,36.80966,137.59154,0,JP
n11250236823,institution,36.77402,137.81791,0,JP
n11391872585,craft_cluster,36.52794,138.11493,0,JP
