qid,lat,lon
Q26546,1.47075,-76.92490
Q38954,28.27264,-16.64361
Q42118,-6.34167,105.97833
Q43876,-8.24194,115.37500
Q48784,55.83000,160.33000
Q48877,56.65363,161.36297
Q72303,39.70194,44.29833
Q123157,-7.37000,110.40000
Q126589,-7.92000,112.45000
Q126804,38.53167,35.45000
Q131230,19.82056,-155.46806
Q137953,13.66667,-89.05000
Q150081,-3.52000,102.62000
Q152380,-42.83278,-72.64583
Q163890,64.60000,-20.58000
Q166972,-56.30000,-27.58000
Q176093,52.63139,-170.69694
Q182913,64.42000,-17.33000
Q183027,49.85056,-123.00472
Q184975,63.99222,-19.66583
Q185847,62.00694,-144.01583
Q188982,-77.53333,167.28333
Q190562,4.21667,9.17250
Q194215,-37.82583,77.55472
Q201914,63.63333,-19.05000
Q202629,-38.37919,-71.58992
Q204821,-38.73000,77.52222
Q207284,-39.28167,175.56861
Q210252,56.06667,160.63333
Q211665,65.03000,-16.75000
Q214696,-1.51667,29.25000
Q214916,-24.71972,-68.53667
Q231620,19.49300,-102.25100
Q233351,4.89528,-75.32250
Q235062,1.21667,-77.36667
Q248276,-43.19306,-72.79278
Q252081,-18.42361,-69.08972
Q255010,-18.16575,-69.14161
Q279915,36.64528,138.52833
Q280645,55.18630,-162.27474
Q280822,63.98083,-19.14583
Q288383,57.05000,-135.75000
Q288403,48.09056,153.20139
Q298119,64.02544,-16.64206
Q312770,-36.63970,-70.43300
Q312862,-24.29000,-67.78330
Q312866,-25.56250,-67.88083
Q312929,-49.35833,-73.28333
Q312930,-37.85222,-71.16750
Q312936,-25.96806,-67.53583
Q315110,50.38583,7.01111
Q334728,34.50000,131.60000
Q335279,65.88000,-16.84000
Q335498,63.86581,-22.43662
Q335699,63.99833,-21.69889
Q337644,-23.29583,-67.61722
Q338192,14.50083,-90.87583
Q373105,-18.75000,-69.05000
Q375398,-20.73333,-68.56667
Q380300,-73.16667,164.60000
Q383862,-7.73917,113.58028
Q385882,50.26972,155.24750
Q389121,-39.63718,-71.50306
Q392766,-19.53333,169.44167
Q408217,-0.25000,-90.70000
Q414577,53.96667,159.45000
Q415251,36.56083,139.19361
Q419247,39.76083,140.80361
Q422737,-18.12627,-69.12672
Q422765,-24.39333,-68.25611
Q422774,-26.77000,-67.72000
Q422807,-27.20000,-68.55000
Q422965,-37.14200,-70.03000
Q456619,0.75750,124.41583
Q457596,-4.08083,153.62139
Q457606,-4.06528,153.61944
Q481441,52.49778,-171.25472
Q489647,-15.25700,-72.48300
Q499164,11.92000,255.92000
Q511443,13.27700,41.65500
Q521660,-38.58706,-71.58923
Q524216,44.80722,147.12750
Q524954,28.60000,61.13333
Q538601,-27.08444,-109.37944
Q547770,44.35389,146.25083
Q548229,-50.93953,-73.63715
Q556594,-19.34978,47.24334
