id,lat,lon,kind,weight,tag
osm-way-39976386,43.46252,-80.95615,A7,0.6,natural=wetland
osm-way-223311144,43.24466,-80.94585,A7,0.6,natural=wetland
osm-way-223311268,43.23751,-80.94351,A7,0.6,natural=wetland
osm-way-39976370,43.25419,-80.92902,A7,0.6,natural=wetland
osm-way-39976542,43.29908,-80.89797,A7,0.6,natural=wetland
osm-way-39976359,43.35432,-80.93970,A7,0.6,natural=wetland
osm-way-39976318,43.35709,-80.92986,A7,0.6,natural=wetland
osm-way-39976375,43.36253,-80.93242,A7,0.6,natural=wetland
osm-way-39976341,43.37138,-80.91892,A7,0.6,natural=wetland
osm-way-39976472,43.38060,-80.90869,A7,0.6,natural=wetland
osm-way-39976555,43.37948,-80.90518,A7,0.6,natural=wetland
osm-way-39976415,43.43001,-80.92082,A7,0.6,natural=wetland
osm-way-39976498,43.38722,-80.85103,A7,0.6,natural=wetland
osm-way-39976515,43.32572,-80.79622,A7,0.6,natural=wetland
osm-way-39976504,43.39604,-80.82995,A7,0.6,natural=wetland
osm-way-39976545,43.38763,-80.80673,A7,0.6,natural=wetland
osm-way-39945582,43.40215,-80.81100,A7,0.6,natural=wetland
osm-way-39976509,43.41500,-80.79707,A7,0.6,natural=wetland
osm-way-39976493,43.42366,-80.79381,A7,0.6,natural=wetland
osm-way-39976319,43.39269,-80.78786,A7,0.6,natural=wetland
osm-way-39976358,43.43606,-80.90492,A7,0.6,natural=wetland
osm-way-1149850389,29.94497,103.04094,A4,0.5,natural=cliff
osm-way-1086888255,29.97362,103.00298,A4,0.5,natural=cliff
osm-way-1172469895,29.99077,103.00915,A4,0.5,natural=cliff
osm-way-472364074,30.07736,102.98930,A4,0.5,natural=cliff
osm-way-472364073,30.07583,102.99170,A4,0.5,natural=cliff
osm-way-1266269482,30.00627,103.08810,A7,0.6,natural=wetland
osm-way-1160766685,30.01714,103.12247,A7,0.6,natural=wetland
osm-way-1160766686,30.01775,103.12245,A7,0.6,natural=wetland
osm-way-1160766687,30.01765,103.12429,A7,0.6,natural=wetland
osm-way-1160766688,30.01783,103.12516,A7,0.6,natural=wetland
osm-node-3002758272,25.59502,100.17679,A4,0.9,natural=peak
osm-node-10201945821,25.57453,100.23317,A4,0.9,natural=peak
osm-node-6528659908,25.59230,100.19831,A4,0.5,natural=cliff
osm-node-6525028939,25.73098,100.02657,A7,0.7,waterway=waterfall
osm-node-12828933915,25.62461,100.04529,A2,0.5,historic=archaeological_site
osm-node-12830159053,25.64151,100.03526,A8,0.9,natural=hot_spring
osm-node-7629928512,25.61555,100.08948,A7,0.7,waterway=waterfall
osm-node-3002758267,25.61764,100.13740,A4,0.9,natural=peak
