country,place,kind,lat,lon,score,on printed map,printed rank,archetypes,whs,sources
Albania,Lushnjë,settlement,40.9419,19.705,33,no,,"A9, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Librazhd,settlement,41.1794,20.315,32,no,,A9,0,"cuisine, ghsl-ucdb, osm, wdpa"
Albania,Elbasan,settlement,41.1114,20.0822,32,no,,A11,0,"cuisine, ghsl-ucdb, osm, wikidata"
Albania,Durrës,settlement,41.3235,19.4547,29,no,,A11,0,"cuisine, ghsl-ucdb, osm, wikidata"
Albania,Krujë,settlement,41.5092,19.7928,28,no,,"A10, A11",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Bulqizë,settlement,41.4917,20.2219,23,no,,A9,0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Albania,Kavajë,settlement,41.1856,19.5569,16,no,,A11,0,"cuisine, ghsl-ucdb, osm, wikidata"
Albania,Kukës,settlement,42.0769,20.4219,12,yes,6.0,A11,0,"ghsl-ucdb, osm"
Algeria,Algiers,settlement,36.7323,3.0875,100,yes,1.0,"A10, A12, A11",1,"ghsl-ucdb, osm, unesco-whs, wikidata"
Algeria,Tassili n'Ajjer,site,25.5,9.0,79,yes,2.0,A9,2,"unesco-whs, wikidata"
Algeria,Tlemcen,settlement,34.8783,-1.315,46,yes,3.0,"A9, A11",0,"ghsl-ucdb, osm, wdpa, wikidata"
Algeria,Blida,settlement,36.47,2.8277,44,no,,"A9, A11",0,"ghsl-ucdb, osm, wdpa"
Algeria,Chemini,settlement,36.6,4.6167,43,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Batna,settlement,35.556,6.1741,42,no,,"A9, A11",0,"ghsl-ucdb, osm, wdpa"
Algeria,Aïn Taya,settlement,36.7933,3.2869,41,no,,A11,0,"ghsl-ucdb, osm, wikidata"
Algeria,Jijel,settlement,36.821,5.7635,41,yes,8.0,"A9, A11",0,"ghsl-ucdb, osm, wdpa"
Algeria,Babor,settlement,36.4899,5.5393,41,no,,"A11, A9",0,"ghsl-ucdb, osm, wdpa"
Algeria,El Kala,settlement,36.8956,8.4433,38,yes,5.0,"A11, A9",0,"ghsl-ucdb, osm, wdpa, wikidata"
Algeria,Theniet el Had,settlement,35.8711,2.0281,37,no,,A9,0,"ghsl-ucdb, osm, wdpa"
Algeria,Tizi-n-Tleta,settlement,36.5457,4.0571,37,no,,"A11, A9",0,"ghsl-ucdb, osm, wdpa, wikidata"
Algeria,’Aïn el Turk,settlement,35.7438,-0.7693,37,no,,"A11, A9",0,"ghsl-ucdb, osm, wdpa"
Algeria,Ghardaïa,settlement,32.4909,3.6735,35,yes,7.0,A11,1,"cuisine, ghsl-ucdb, osm, unesco-whs, wikidata"
Algeria,Arris,settlement,35.2588,6.3471,34,yes,4.0,,1,"ghsl-ucdb, osm, unesco-whs, wikidata"
Algeria,Oran,settlement,35.6991,-0.6359,33,no,,"A11, A12",0,"ghsl-ucdb, osm, wikidata"
Algeria,Aïn Temouchent,settlement,35.2975,-1.1404,33,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Sétif,settlement,36.1911,5.4137,33,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Ouled Djellal,settlement,34.43,5.0614,32,yes,10.0,A11,0,"ghsl-ucdb, osm"
Algeria,Tipasa,settlement,36.5897,2.4489,31,no,,,1,"ghsl-ucdb, osm, unesco-whs, wikidata"
Algeria,El Eulma,settlement,36.1528,5.6902,30,no,,A11,1,"ghsl-ucdb, osm, unesco-whs, wikidata"
Algeria,Bordj Bou Arreridj,settlement,36.0739,4.7614,30,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Béjaïa,settlement,36.7559,5.0843,28,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Tiaret,settlement,35.371,1.317,27,yes,9.0,A11,0,"ghsl-ucdb, osm"
Algeria,Biskra,settlement,34.8504,5.728,26,no,,A11,0,"ghsl-ucdb, osm"
